epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,419.793,1.03804,1.25537,0.77737,1.10416,0.88574,0.77247,0.85826,0.54428,0.89706,0.77936,0.86607,0.54061,1.25984,1.55876,0.84737,1.32446,0.0008516,0.0008516,0.0008516
31,432.155,0.98839,1.23077,0.74078,1.08384,0.88231,0.7758,0.85253,0.54258,0.90763,0.79715,0.87327,0.55997,1.33663,1.48698,0.82271,1.35192,0.000812,0.000812,0.000812
32,444.105,1.02457,1.21891,0.76126,1.09314,0.88475,0.76512,0.86224,0.55947,0.88702,0.78234,0.868,0.55852,1.2562,1.56961,0.81859,1.31852,0.0007724,0.0007724,0.0007724
33,456.04,1.00346,1.21234,0.73544,1.08324,0.90096,0.79715,0.87482,0.54233,0.9023,0.78881,0.8781,0.57437,1.27856,1.49869,0.81475,1.31685,0.0007328,0.0007328,0.0007328
34,468.002,0.991,1.23929,0.73121,1.09129,0.89988,0.78292,0.86805,0.55384,0.90806,0.79004,0.87244,0.568,1.26717,1.49415,0.80054,1.32073,0.0006932,0.0006932,0.0006932
35,480.054,1.01395,1.21022,0.74838,1.09086,0.91398,0.75628,0.86393,0.55497,0.9636,0.75371,0.87131,0.56445,1.23811,1.47886,0.84653,1.29395,0.0006536,0.0006536,0.0006536
36,491.808,0.9798,1.21276,0.71857,1.07993,0.91239,0.75089,0.85965,0.53835,0.91586,0.75445,0.87187,0.5493,1.29577,1.39914,0.82663,1.30313,0.000614,0.000614,0.000614
37,503.75,0.95212,1.17381,0.71013,1.07324,0.89,0.80071,0.87697,0.57984,0.93975,0.77712,0.89158,0.59442,1.18987,1.40713,0.78618,1.26986,0.0005744,0.0005744,0.0005744
38,515.676,0.95414,1.15543,0.69577,1.0668,0.90857,0.77805,0.87536,0.58193,0.90077,0.77224,0.87542,0.57435,1.16154,1.46097,0.76713,1.25205,0.0005348,0.0005348,0.0005348
39,527.661,0.93166,1.18831,0.68381,1.06517,0.93623,0.77936,0.88795,0.59902,0.9487,0.78974,0.88404,0.5922,1.12587,1.44955,0.7433,1.2409,0.0004952,0.0004952,0.0004952
40,539.796,0.89926,1.10904,0.659,1.05616,0.9146,0.80783,0.89675,0.60957,0.93622,0.78355,0.90099,0.60668,1.14153,1.44075,0.7168,1.26378,0.0004556,0.0004556,0.0004556
