epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,804.53,0.919,1.0954,0.65909,1.04352,0.92249,0.76868,0.87856,0.56958,0.94703,0.76355,0.889,0.57171,1.24009,1.51722,0.78608,1.30797,0.0013367,0.0013367,0.0013367
69,816.183,0.92239,1.11878,0.66245,1.0455,0.91632,0.79004,0.88693,0.58092,0.90864,0.77864,0.88974,0.56608,1.1675,1.46898,0.74906,1.31295,0.0013268,0.0013268,0.0013268
70,827.848,0.90903,1.12615,0.64085,1.04377,0.96475,0.71886,0.85134,0.5341,0.9475,0.74021,0.8582,0.54297,1.25463,1.53965,0.89247,1.33542,0.0013169,0.0013169,0.0013169
71,839.545,0.91213,1.06885,0.64474,1.0314,0.91737,0.79015,0.87356,0.55999,0.92656,0.80814,0.88146,0.57618,1.23724,1.50947,0.79357,1.33314,0.001307,0.001307,0.001307
72,851.144,0.8721,1.05551,0.62914,1.02149,0.92244,0.80411,0.8793,0.56924,0.90994,0.79101,0.87654,0.5732,1.22248,1.51889,0.78149,1.33394,0.0012971,0.0012971,0.0012971
73,862.741,0.89427,1.08817,0.64956,1.02898,0.9,0.80783,0.86873,0.57071,0.90396,0.81139,0.8755,0.57415,1.21825,1.57794,0.77484,1.29451,0.0012872,0.0012872,0.0012872
74,874.642,0.9039,1.12927,0.65376,1.03935,0.90361,0.80783,0.88376,0.59098,0.88024,0.82562,0.87846,0.59163,1.13694,1.51759,0.8001,1.23867,0.0012773,0.0012773,0.0012773
75,886.359,0.90856,1.08167,0.63947,1.03346,0.88909,0.81495,0.88079,0.57822,0.89592,0.79648,0.87809,0.56301,1.1682,1.51874,0.76275,1.30182,0.0012674,0.0012674,0.0012674
76,897.976,0.90733,1.07897,0.64533,1.03262,0.87874,0.82527,0.87477,0.57971,0.87874,0.82527,0.87935,0.56489,1.19694,1.46867,0.78435,1.31777,0.0012575,0.0012575,0.0012575
77,909.676,0.89581,1.07359,0.63487,1.03638,0.89347,0.81495,0.87625,0.58314,0.90386,0.82562,0.88759,0.57819,1.1565,1.44774,0.75872,1.27639,0.0012476,0.0012476,0.0012476
78,921.379,0.8782,1.04143,0.61748,1.01666,0.9149,0.82562,0.90455,0.58616,0.91383,0.8363,0.90471,0.6032,1.16855,1.40594,0.73941,1.25615,0.0012377,0.0012377,0.0012377
79,933.345,0.86235,1.04752,0.61421,1.00014,0.88189,0.82372,0.88944,0.60204,0.8773,0.81422,0.89053,0.59336,1.12883,1.40542,0.75731,1.2473,0.0012278,0.0012278,0.0012278
80,945.25,0.89384,1.07425,0.62976,1.04312,0.93065,0.83274,0.8935,0.60499,0.91474,0.81851,0.88551,0.59363,1.10473,1.44497,0.72534,1.2532,0.0012179,0.0012179,0.0012179
81,956.806,0.86271,1.01923,0.59954,1.01661,0.9193,0.81075,0.87893,0.56409,0.92373,0.79359,0.87535,0.56953,1.19987,1.53592,0.75737,1.33736,0.001208,0.001208,0.001208
82,968.461,0.86938,1.07906,0.61747,1.00329,0.91465,0.82562,0.90191,0.58919,0.93523,0.84342,0.91201,0.5888,1.17655,1.48205,0.73094,1.3014,0.0011981,0.0011981,0.0011981
83,980.081,0.85047,1.04507,0.6052,1.02733,0.90753,0.80427,0.88917,0.58967,0.90681,0.80427,0.88463,0.55571,1.13627,1.64251,0.73285,1.30564,0.0011882,0.0011882,0.0011882
84,991.545,0.83639,1.03366,0.60276,1.0048,0.92432,0.7758,0.87933,0.59982,0.86958,0.82918,0.8914,0.5817,1.15642,1.42897,0.76752,1.25959,0.0011783,0.0011783,0.0011783
85,1003.25,0.85959,1.01364,0.61233,1.01767,0.91378,0.81139,0.87979,0.57402,0.91419,0.81139,0.89049,0.56431,1.18058,1.46603,0.76252,1.26815,0.0011684,0.0011684,0.0011684
86,1014.9,0.85314,1.012,0.60233,1.0127,0.90563,0.84698,0.89257,0.59171,0.89639,0.84342,0.90261,0.59885,1.16031,1.41033,0.73467,1.28411,0.0011585,0.0011585,0.0011585
87,1026.52,0.87679,1.09169,0.60199,1.0208,0.90897,0.81733,0.88296,0.57444,0.89329,0.80783,0.8725,0.56762,1.19297,1.57705,0.75372,1.31465,0.0011486,0.0011486,0.0011486
88,1038.27,0.8382,1.02657,0.60048,1.00837,0.91079,0.75801,0.85502,0.56981,0.89731,0.74377,0.85978,0.55518,1.18747,1.47881,0.7565,1.32487,0.0011387,0.0011387,0.0011387
89,1049.84,0.82714,1.01503,0.60376,1.00731,0.91927,0.81043,0.88622,0.60514,0.91104,0.81851,0.89599,0.59149,1.12275,1.3479,0.72229,1.25949,0.0011288,0.0011288,0.0011288
90,1061.53,0.84239,1.0288,0.59544,1.0103,0.95321,0.83274,0.9029,0.61284,0.94914,0.82918,0.90866,0.59363,1.12485,1.41424,0.7064,1.26424,0.0011189,0.0011189,0.0011189
91,1073.2,0.82983,1.01353,0.57889,1.01114,0.94285,0.82192,0.89788,0.58498,0.92285,0.80879,0.87913,0.54894,1.17667,1.63312,0.75988,1.30603,0.001109,0.001109,0.001109
92,1085,0.84872,1.04607,0.59499,1.0148,0.87435,0.82918,0.87826,0.60993,0.8706,0.82562,0.87507,0.59501,1.08441,1.39504,0.73681,1.23239,0.0010991,0.0010991,0.0010991
93,1096.63,0.82093,1.05966,0.58344,0.99698,0.90902,0.81851,0.89996,0.61987,0.91297,0.82206,0.90982,0.60874,1.11518,1.36993,0.69312,1.26216,0.0010892,0.0010892,0.0010892
