epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,402.617,1.16905,1.38368,0.89581,1.16694,0.82586,0.69751,0.80067,0.48971,0.82586,0.69751,0.79566,0.5003,1.42208,1.72272,0.97045,1.43593,0.0017129,0.0017129,0.0017129
31,414.55,1.09988,1.39119,0.85123,1.14061,0.83619,0.72665,0.81081,0.49452,0.82028,0.76339,0.82329,0.51186,1.39372,1.69419,1.0033,1.41242,0.001703,0.001703,0.001703
32,426.6,1.14645,1.3544,0.85336,1.16664,0.82176,0.75089,0.82465,0.50053,0.83413,0.76157,0.82861,0.50167,1.3991,1.66922,0.96208,1.38609,0.0016931,0.0016931,0.0016931
33,438.69,1.12994,1.34079,0.84482,1.14794,0.79679,0.73956,0.78192,0.4721,0.81147,0.76868,0.8153,0.50791,1.44657,1.61568,1.00196,1.44063,0.0016832,0.0016832,0.0016832
34,450.757,1.14953,1.38931,0.86008,1.16363,0.82659,0.74638,0.82112,0.50229,0.83116,0.74377,0.83383,0.51543,1.37054,1.64232,0.90568,1.38047,0.0016733,0.0016733,0.0016733
35,462.849,1.14449,1.38056,0.84675,1.15019,0.87693,0.71002,0.7955,0.48142,0.86375,0.72598,0.81696,0.48558,1.45191,1.86478,0.9886,1.44989,0.0016634,0.0016634,0.0016634
36,474.806,1.13162,1.41447,0.8227,1.15517,0.85889,0.73644,0.82823,0.51716,0.85597,0.74022,0.83466,0.51022,1.31192,1.62424,0.89251,1.35517,0.0016535,0.0016535,0.0016535
37,486.806,1.09461,1.29443,0.81727,1.12816,0.85072,0.79359,0.85819,0.5103,0.8519,0.80071,0.86127,0.51439,1.38067,1.5633,0.90212,1.41136,0.0016436,0.0016436,0.0016436
38,498.899,1.09847,1.30006,0.81907,1.13126,0.85736,0.74867,0.83986,0.50245,0.85478,0.75445,0.84175,0.51797,1.36928,1.636,0.94834,1.40715,0.0016337,0.0016337,0.0016337
39,510.767,1.06687,1.34138,0.79612,1.12869,0.86751,0.74564,0.83514,0.50967,0.89463,0.72516,0.85251,0.51039,1.40043,1.70297,0.89466,1.39333,0.0016238,0.0016238,0.0016238
40,522.88,1.08445,1.29013,0.79953,1.13832,0.84527,0.7582,0.82942,0.49566,0.85875,0.75445,0.82867,0.51103,1.3915,1.70932,0.95434,1.42087,0.0016139,0.0016139,0.0016139
41,534.951,1.0676,1.33037,0.79759,1.11738,0.87106,0.78648,0.84801,0.5328,0.84116,0.77224,0.84525,0.54075,1.26923,1.61009,0.91117,1.30369,0.001604,0.001604,0.001604
42,547.001,1.08137,1.27102,0.78223,1.11867,0.85243,0.79004,0.84936,0.52104,0.85104,0.79004,0.85627,0.50756,1.33054,1.7035,0.87467,1.34291,0.0015941,0.0015941,0.0015941
43,558.986,1.04197,1.22422,0.76488,1.10403,0.93577,0.72588,0.84994,0.51403,0.91343,0.72242,0.84673,0.5281,1.34812,1.63266,0.90256,1.37306,0.0015842,0.0015842,0.0015842
44,571.138,1.05073,1.23389,0.77306,1.12138,0.90664,0.7949,0.87588,0.54454,0.86148,0.80427,0.86398,0.55516,1.2953,1.5019,0.84923,1.32696,0.0015743,0.0015743,0.0015743
45,583.371,1,1.2467,0.76166,1.08896,0.90276,0.75993,0.86118,0.52742,0.89854,0.75637,0.84986,0.54024,1.31872,1.49655,0.84339,1.40215,0.0015644,0.0015644,0.0015644
46,595.625,1.04088,1.27904,0.77742,1.11033,0.89079,0.74021,0.84223,0.55367,0.87039,0.76512,0.85766,0.53908,1.30342,1.66507,0.89566,1.35233,0.0015545,0.0015545,0.0015545
47,607.719,1.03309,1.25106,0.75148,1.10019,0.89206,0.74021,0.80651,0.49836,0.9045,0.72954,0.83359,0.51341,1.34554,1.5898,0.93085,1.33135,0.0015446,0.0015446,0.0015446
